"Source","Target","Weight"
"ADDAM_MARBRAND","KEVAN",3
"ADDAM_MARBRAND","LEO_LEFFORD",3
"ADDAM_MARBRAND","TYWIN",2
"AEGON","AERYS",2
"AEGON","ARYA",2
"AEGON","DAVOS",2
"AEGON","MAESTER_AEMON",2
"AEGON","SHIREEN",2
"AERYS","BARRISTAN",5
"AERYS","CATELYN",2
"AERYS","JAIME",9
"AERYS","JOFFREY",2
"AERYS","JORAH",2
"AERYS","MAESTER_AEMON",2
"AERYS","NED",10
"AERYS","PYCELLE",2
"AERYS","RENLY",2
"AERYS","RHAEGAR",3
"AERYS","RICKARD_STARK",4
"AERYS","ROBERT",12
"AERYS","SANSA",2
"AERYS","SEPTA_MORDANE",2
"AERYS","TYWIN",2
"ALLISER_THORNE","GRENN",7
"ALLISER_THORNE","JEOR",9
"ALLISER_THORNE","JON",20
"ALLISER_THORNE","MAESTER_AEMON",2
"ALLISER_THORNE","OTHELL_YARWYCK",3
"ALLISER_THORNE","PYP",10
"ALLISER_THORNE","RAST",4
"ALLISER_THORNE","SAM",18
"AMORY","ARYA",16
"AMORY","HOT_PIE",2
"AMORY","JAQEN",3
"AMORY","POLLIVER",3
"AMORY","TYWIN",14
"AMORY","YOREN",8
"ANGUY","ARYA",26
"ANGUY","BERIC",11
"ANGUY","GENDRY",11
"ANGUY","HOT_PIE",2
"ANGUY","HOUND",20
"ANGUY","MELISANDRE",3
"ANGUY","THOROS",20
"ARYA","BAELOR",5
"ARYA","BERIC",33
"ARYA","BITER",8
"ARYA","BRAN",5
"ARYA","CATELYN",14
"ARYA","CERSEI",20
"ARYA","GENDRY",130
"ARYA","HOT_PIE",63
"ARYA","HOUND",89
"ARYA","ILLYRIO",2
"ARYA","ILYN_PAYNE",6
"ARYA","JAIME",3
"ARYA","JAQEN",113
"ARYA","JOFFREY",33
"ARYA","JON",20
"ARYA","JORY_CASSEL",7
"ARYA","KEVAN",2
"ARYA","LITTLEFINGER",13
"ARYA","LOMMY",6
"ARYA","LOMMY_GREENHANDS",2
"ARYA","MELISANDRE",5
"ARYA","MERYN_TRANT",7
"ARYA","MOUNTAIN",6
"ARYA","MYCAH",7
"ARYA","NED",94
"ARYA","POLLIVER",7
"ARYA","PYCELLE",3
"ARYA","REGINALD",2
"ARYA","RHAENYS",2
"ARYA","ROBB",15
"ARYA","ROBERT",10
"ARYA","ROOSE_BOLTON",2
"ARYA","RORGE",16
"ARYA","SANSA",61
"ARYA","SEPTA_MORDANE",11
"ARYA","SYRIO_FOREL",46
"ARYA","THOROS",63
"ARYA","TICKLER",5
"ARYA","TYRION",4
"ARYA","TYWIN",103
"ARYA","VARYS",7
"ARYA","VISENYA",3
"ARYA","YOREN",38
"BAELOR","CERSEI",2
"BAELOR","HOUND",2
"BAELOR","ILYN_PAYNE",3
"BAELOR","JOFFREY",2
"BAELOR","NED",8
"BAELOR","PYCELLE",2
"BAELOR","SANSA",2
"BAELOR","YOREN",4
"BALON","CATELYN",2
"BALON","NED",5
"BALON","RAMSAY",4
"BALON","ROBB",10
"BALON","ROOSE_BOLTON",2
"BALON","THEON",74
"BALON","TYRION",2
"BALON","YARA",26
"BARRA","JANOS",2
"BARRISTAN","CERSEI",13
"BARRISTAN","DAARIO",6
"BARRISTAN","DAENERYS",37
"BARRISTAN","GREY_WORM",5
"BARRISTAN","JAIME",4
"BARRISTAN","JOFFREY",5
"BARRISTAN","JORAH",57
"BARRISTAN","KRAZNYS_MO_NAKLOZ",2
"BARRISTAN","LANCEL",3
"BARRISTAN","LITTLEFINGER",4
"BARRISTAN","MISSANDEI",7
"BARRISTAN","NED",25
"BARRISTAN","PYCELLE",4
"BARRISTAN","RADZAI_MO_ERAZ",2
"BARRISTAN","RENLY",3
"BARRISTAN","ROBERT",27
"BARRISTAN","VARYS",6
"BENJEN","CATELYN",2
"BENJEN","CERSEI",2
"BENJEN","CRASTER",2
"BENJEN","JEOR",2
"BENJEN","JON",33
"BENJEN","NED",14
"BENJEN","ROBB",5
"BENJEN","ROBERT",2
"BENJEN","TYRION",17
"BENJEN","YOREN",5
"BERIC","GENDRY",7
"BERIC","HOUND",25
"BERIC","MELISANDRE",6
"BERIC","MOUNTAIN",3
"BERIC","NED",6
"BERIC","ROBERT",2
"BERIC","THOROS",28
"BERT","SHIREEN",2
"BILLY","RICKON",2
"BITER","JAQEN",5
"BITER","RORGE",8
"BITER","YOREN",2
"BLACK_LORREN","DAGMER",7
"BLACK_LORREN","MAESTER_LUWIN",2
"BLACK_LORREN","OSHA",2
"BLACK_LORREN","RODRIK",3
"BLACK_LORREN","THEON",21
"BLACK_WALDER","BRYNDEN",3
"BLACK_WALDER","CATELYN",3
"BLACK_WALDER","EDMURE",5
"BLACK_WALDER","JOYEUSE",2
"BLACK_WALDER","LOTHAR",5
"BLACK_WALDER","ROBB",8
"BOROS","JOFFREY",2
"BOROS","MERYN_TRANT",2
"BOWEN_MARSH","DAREON",2
"BOWEN_MARSH","PYP",2
"BRAN","BRANDON_STARK",2
"BRAN","CATELYN",44
"BRAN","CERSEI",4
"BRAN","DAGMER",6
"BRAN","FARLEN",6
"BRAN","GILLY",3
"BRAN","HODOR",78
"BRAN","HOUND",2
"BRAN","JAIME",9
"BRAN","JOFFREY",3
"BRAN","JOJEN",65
"BRAN","JON",27
"BRAN","MAESTER_LUWIN",84
"BRAN","MEERA",29
"BRAN","NED",34
"BRAN","OLD_NAN",9
"BRAN","ORELL",4
"BRAN","OSHA",153
"BRAN","RICKON",72
"BRAN","ROBB",59
"BRAN","ROBERT",7
"BRAN","RODRIK",23
"BRAN","SAM",17
"BRAN","SANSA",2
"BRAN","THEON",75
"BRAN","TORMUND",2
"BRAN","TYRION",15
"BRAN","WILL",3
"BRAN","YGRITTE",2
"BRANDON_STARK","CATELYN",5
"BRANDON_STARK","JOJEN",3
"BRANDON_STARK","JON",2
"BRANDON_STARK","NED",3
"BRANDON_STARK","RICKARD_STARK",2
"BRIENNE","CATELYN",60
"BRIENNE","DAVOS",2
"BRIENNE","JACKS",7
"BRIENNE","JAIME",176
"BRIENNE","LITTLEFINGER",2
"BRIENNE","LORAS",7
"BRIENNE","MARGAERY",5
"BRIENNE","MELISANDRE",2
"BRIENNE","RENLY",31
"BRIENNE","RICKARD_KARSTARK",2
"BRIENNE","ROBB",5
"BRIENNE","ROOSE_BOLTON",9
"BRIENNE","SELWYN",3
"BRIENNE","STANNIS",5
"BRONN","CATELYN",7
"BRONN","CERSEI",5
"BRONN","HOUND",13
"BRONN","JANOS",3
"BRONN","JOFFREY",13
"BRONN","KEVAN",2
"BRONN","LANCEL",6
"BRONN","LORAS",2
"BRONN","LYSA",5
"BRONN","MARGAERY",2
"BRONN","MARILLION",2
"BRONN","MERYN_TRANT",13
"BRONN","MORD",3
"BRONN","OLENNA",2
"BRONN","PODRICK",23
"BRONN","PYCELLE",8
"BRONN","ROBIN",3
"BRONN","RODRIK",6
"BRONN","SANSA",7
"BRONN","SHAE",15
"BRONN","SHAGGA",5
"BRONN","TIMETT",4
"BRONN","TYRION",244
"BRONN","TYWIN",10
"BRONN","VARDIS_EGEN",4
"BRONN","VARYS",11
"BRYNDEN","CATELYN",27
"BRYNDEN","EDMURE",18
"BRYNDEN","HOSTER",2
"BRYNDEN","LOTHAR",3
"BRYNDEN","RICKARD_KARSTARK",5
"BRYNDEN","ROBB",17
"BRYNDEN","ROOSE_BOLTON",8
"BRYNDEN","ROSLIN",2
"BRYNDEN","WALDER",6
"CATELYN","CERSEI",22
"CATELYN","DAENERYS",2
"CATELYN","DAVOS",2
"CATELYN","EDMURE",15
"CATELYN","GREATJON_UMBER",11
"CATELYN","HOSTER",10
"CATELYN","HOUND",4
"CATELYN","JACKS",8
"CATELYN","JAIME",61
"CATELYN","JOFFREY",6
"CATELYN","JON",16
"CATELYN","JON_ARRYN",4
"CATELYN","JOYEUSE",6
"CATELYN","LITTLEFINGER",50
"CATELYN","LORAS",9
"CATELYN","LOTHAR",2
"CATELYN","LYSA",30
"CATELYN","MAESTER_LUWIN",26
"CATELYN","MARGAERY",5
"CATELYN","MARILLION",4
"CATELYN","MASHA_HEDDLE",3
"CATELYN","MELISANDRE",2
"CATELYN","MORD",5
"CATELYN","NED",77
"CATELYN","RENLY",30
"CATELYN","RICKARD_KARSTARK",22
"CATELYN","RICKON",4
"CATELYN","ROBB",224
"CATELYN","ROBERT",15
"CATELYN","ROBIN",10
"CATELYN","RODRIK",28
"CATELYN","ROOSE_BOLTON",17
"CATELYN","ROSLIN",4
"CATELYN","SANSA",20
"CATELYN","STANNIS",13
"CATELYN","STEVRON_FREY",2
"CATELYN","THEON",16
"CATELYN","TYRION",49
"CATELYN","TYWIN",6
"CATELYN","VARDIS_EGEN",13
"CATELYN","VARYS",11
"CATELYN","WALDER",53
"CATELYN","YOREN",3
"CERSEI","DAVOS",2
"CERSEI","HOUND",12
"CERSEI","ILYN_PAYNE",8
"CERSEI","JAIME",69
"CERSEI","JANOS",11
"CERSEI","JEOR",2
"CERSEI","JOANNA",2
"CERSEI","JOFFREY",158
"CERSEI","JON",3
"CERSEI","JON_ARRYN",3
"CERSEI","LANCEL",27
"CERSEI","LITTLEFINGER",51
"CERSEI","LORAS",20
"CERSEI","LYANNA",2
"CERSEI","MANDON",3
"CERSEI","MARGAERY",33
"CERSEI","MATTHOS",2
"CERSEI","MERYN_TRANT",15
"CERSEI","MYRCELLA",12
"CERSEI","NED",92
"CERSEI","OLENNA",24
"CERSEI","PODRICK",6
"CERSEI","PYCELLE",33
"CERSEI","RENLY",3
"CERSEI","ROBB",12
"CERSEI","ROBERT",86
"CERSEI","SALLADHOR",2
"CERSEI","SANSA",116
"CERSEI","SHAE",21
"CERSEI","STANNIS",9
"CERSEI","TOMMEN",25
"CERSEI","TYRION",290
"CERSEI","TYWIN",75
"CERSEI","VARYS",29
"CERSEI","YOREN",2
"COHOLLO","DROGO",3
"CRASTER","EDDISON_TOLLETT",5
"CRASTER","GILLY",6
"CRASTER","GRENN",3
"CRASTER","JEOR",46
"CRASTER","JON",19
"CRASTER","MANCE",2
"CRASTER","RAST",8
"CRASTER","SAM",10
"CRESSEN","DAVOS",16
"CRESSEN","MATTHOS",2
"CRESSEN","MELISANDRE",10
"CRESSEN","STANNIS",5
"DAARIO","DAENERYS",36
"DAARIO","GREY_WORM",6
"DAARIO","JORAH",17
"DAARIO","MERO",17
"DAARIO","MISSANDEI",7
"DAARIO","PRENDAHL",7
"DAENERYS","DOREAH",54
"DAENERYS","DROGO",103
"DAENERYS","GREY_WORM",12
"DAENERYS","ILLYRIO",10
"DAENERYS","IRRI",47
"DAENERYS","JHIQUI",2
"DAENERYS","JORAH",342
"DAENERYS","KRAZNYS_MO_NAKLOZ",23
"DAENERYS","MAGO",8
"DAENERYS","MERO",16
"DAENERYS","MIRRI_MAZ_DUUR",45
"DAENERYS","MISSANDEI",67
"DAENERYS","NED",3
"DAENERYS","PRENDAHL",8
"DAENERYS","PYATT_PREE",23
"DAENERYS","QOTHO",28
"DAENERYS","QUAITHE",4
"DAENERYS","RADZAI_MO_ERAZ",19
"DAENERYS","RAKHARO",29
"DAENERYS","RHAEGO",17
"DAENERYS","ROBERT",7
"DAENERYS","SANSA",2
"DAENERYS","VARYS",4
"DAENERYS","VISERYS",66
"DAENERYS","XARO",80
"DAGMER","FARLEN",2
"DAGMER","HODOR",2
"DAGMER","MAESTER_LUWIN",5
"DAGMER","OSHA",3
"DAGMER","RICKON",4
"DAGMER","RODRIK",3
"DAGMER","THEON",48
"DAGMER","YARA",2
"DAISY","JOFFREY",7
"DAREON","GRENN",2
"DAREON","HOBB",2
"DAREON","JEOR",2
"DAREON","JON",4
"DAREON","LUKE",2
"DAREON","MAESTER_AEMON",2
"DAREON","PYP",8
"DAREON","RAST",2
"DAREON","SAM",6
"DAVOS","GENDRY",50
"DAVOS","JOFFREY",2
"DAVOS","LORAS",2
"DAVOS","MARYA",2
"DAVOS","MATTHOS",59
"DAVOS","MELISANDRE",73
"DAVOS","RENLY",12
"DAVOS","ROBB",4
"DAVOS","ROBERT",2
"DAVOS","RYLENE",2
"DAVOS","SALLADHOR",55
"DAVOS","SHIREEN",38
"DAVOS","STANNIS",188
"DESMOND","ELDRICK",2
"DESMOND","SANSA",2
"DESMOND","TYRION",2
"DONTOS","JOFFREY",13
"DONTOS","MERYN_TRANT",4
"DONTOS","SANSA",2
"DOREAH","DROGO",3
"DOREAH","IROGENIA",2
"DOREAH","IRRI",9
"DOREAH","JHIQUI",2
"DOREAH","JORAH",9
"DOREAH","VISERYS",30
"DOREAH","XARO",13
"DROGO","ILLYRIO",6
"DROGO","IRRI",2
"DROGO","JORAH",20
"DROGO","MAGO",10
"DROGO","MIRRI_MAZ_DUUR",9
"DROGO","QOTHO",6
"DROGO","RAKHARO",5
"DROGO","RHAEGO",9
"DROGO","ROBERT",2
"DROGO","VISERYS",27
"EDDISON_TOLLETT","GILLY",4
"EDDISON_TOLLETT","GRENN",39
"EDDISON_TOLLETT","JEOR",8
"EDDISON_TOLLETT","JON",8
"EDDISON_TOLLETT","RAST",11
"EDDISON_TOLLETT","SAM",42
"EDMURE","HOUND",2
"EDMURE","JOYEUSE",2
"EDMURE","LOTHAR",7
"EDMURE","MOUNTAIN",2
"EDMURE","RICKARD_KARSTARK",4
"EDMURE","ROBB",46
"EDMURE","ROOSE_BOLTON",3
"EDMURE","ROSLIN",12
"EDMURE","TYWIN",2
"EDMURE","WALDER",10
"FARLEN","RICKON",2
"FARLEN","THEON",3
"GALBART_GLOVER","GREATJON_UMBER",2
"GALBART_GLOVER","JONOS_BRACKEN",2
"GALBART_GLOVER","ROBB",2
"GARED","ROYCE",5
"GARED","WILL",4
"GENDRY","HOT_PIE",40
"GENDRY","HOUND",5
"GENDRY","JAQEN",4
"GENDRY","LOMMY",4
"GENDRY","MELISANDRE",46
"GENDRY","MOUNTAIN",3
"GENDRY","NED",14
"GENDRY","ROBERT",3
"GENDRY","RORGE",3
"GENDRY","STANNIS",9
"GENDRY","THOROS",20
"GENDRY","TICKLER",6
"GENDRY","TOBHO_MOTT",5
"GENDRY","TYWIN",6
"GENDRY","VARYS",2
"GENDRY","YOREN",9
"GERARD","RENLY",5
"GILLY","GRENN",2
"GILLY","HODOR",3
"GILLY","JOJEN",4
"GILLY","JON",10
"GILLY","MAESTER_AEMON",10
"GILLY","MEERA",8
"GILLY","RANDYLL",3
"GILLY","RAST",2
"GILLY","SAM",119
"GREATJON_UMBER","JAIME",3
"GREATJON_UMBER","NED",2
"GREATJON_UMBER","RENLY",2
"GREATJON_UMBER","RICKARD_KARSTARK",2
"GREATJON_UMBER","ROBB",31
"GREATJON_UMBER","RODRIK",7
"GREATJON_UMBER","STANNIS",2
"GREATJON_UMBER","THEON",11
"GREATJON_UMBER","TYWIN",3
"GREATJON_UMBER","WALDER",2
"GRENN","JEOR",11
"GRENN","JON",30
"GRENN","PYP",36
"GRENN","RAST",23
"GRENN","SAM",59
"GRENN","TYRION",6
"GREY_WORM","JORAH",12
"GREY_WORM","MERO",2
"GREY_WORM","MISSANDEI",2
"HARREN","TYWIN",2
"HODOR","JOJEN",23
"HODOR","JON",2
"HODOR","MAESTER_LUWIN",9
"HODOR","MEERA",14
"HODOR","ORELL",3
"HODOR","OSHA",38
"HODOR","RICKON",25
"HODOR","ROBB",3
"HODOR","SAM",8
"HODOR","THEON",8
"HODOR","TORMUND",2
"HODOR","TYRION",3
"HODOR","YGRITTE",2
"HOSTER","ROBB",5
"HOSTER","WALDER",6
"HOT_PIE","JAQEN",3
"HOT_PIE","LOMMY",10
"HOT_PIE","LOMMY_GREENHANDS",12
"HOT_PIE","MOUNTAIN",3
"HOT_PIE","POLLIVER",2
"HOT_PIE","THOROS",6
"HOT_PIE","TICKLER",2
"HOUND","ILYN_PAYNE",5
"HOUND","JAIME",2
"HOUND","JOFFREY",67
"HOUND","LANCEL",9
"HOUND","LITTLEFINGER",5
"HOUND","LORAS",4
"HOUND","MERYN_TRANT",15
"HOUND","MOUNTAIN",5
"HOUND","NED",14
"HOUND","PODRICK",4
